Planting,Unique Planting,State,ID,Lab,Share Code,Source,Type,Store Name,Store Brand,Farmer,Farm Practices,Variety,Quality in field,Damage,Quality in lab,Color,Size cm,Brix,Dry Mass % (x 100),Polyphenols,Antioxidants,"Crop, Sodium (noisy)","Crop, Magnesium (noisy)","Crop, Aluminum","Crop, Silicon","Crop, Phosphorous","Crop, Sulfur","Crop, Chlorine","Crop, Potassium","Crop, Calcium","Crop, Manganese","Crop, Iron","Crop, Nickel","Crop, Copper","Crop, Zinc","Crop, Arsenic","Crop, Selenium","Crop, Molybdenum","Crop, Lead",Soil 0-10cm Organic Matter %,Soil 0-10cm Total Organic Carbon %,Soil 0-10cm pH,Soil 0-10cm Soil Respiration,"Soil 0-10cm, Sodium (noisy)","Soil 0-10cm, Magnesium (noisy)","Soil 0-10cm, Aluminum","Soil 0-10cm, Silicon %","Soil 0-10cm, Phosphorous","Soil 0-10cm, Sulfur","Soil 0-10cm, Potassium","Soil 0-10cm, Calcium","Soil 0-10cm, Titanium","Soil 0-10cm, Vanadium","Soil 0-10cm, Chromium","Soil 0-10cm, Manganese","Soil 0-10cm, Iron","Soil 0-10cm, Nickel","Soil 0-10cm, Copper","Soil 0-10cm, Zinc","Soil 0-10cm, Arsenic","Soil 0-10cm, Selenium","Soil 0-10cm, Rubidium","Soil 0-10cm, Strontium","Soil 0-10cm, Molybdenum","Soil 0-10cm, Lead",Soil 10-20cm Organic Matter %,Soil 10-20cm Total Organic Carbon %,Soil 10-20cm pH,Soil 10-20cm Soil Respiration,"Soil 10-20cm, Sodium (noisy)","Soil 10-20cm, Magnesium (noisy)","Soil 10-20cm, Aluminum","Soil 10-20cm, Silicon %","Soil 10-20cm, Phosphorous","Soil 10-20cm, Sulfur","Soil 10-20cm, Potassium","Soil 10-20cm, Calcium","Soil 10-20cm, Titanium","Soil 10-20cm, Vanadium","Soil 10-20cm, Chromium","Soil 10-20cm, Manganese","Soil 10-20cm, Iron","Soil 10-20cm, Nickel","Soil 10-20cm, Copper","Soil 10-20cm, Zinc","Soil 10-20cm, Arsenic","Soil 10-20cm, Selenium","Soil 10-20cm, Rubidium","Soil 10-20cm, Strontium","Soil 10-20cm, Molybdenum","Soil 10-20cm, Lead",Shipping time hrs,Processing time hrs,Total time hrs,Maturity days,Sweetness (0-5 scale),Flavor (0-5 scale),Overall Taste (0-5 scale),Juice Scan Device ID,Juice Scan 365nm,Juice Scan 385nm,Juice Scan 450nm,Juice Scan 500nm,Juice Scan 530nm,Juice Scan 587nm,Juice Scan 632nm,Juice Scan 850nm,Juice Scan 880nm,Juice Scan 940nm,Surface Scan Device ID,Surface Scan 365nm,Surface Scan 386nm,Surface Scan 450nm,Surface Scan 500nm,Surface Scan 530nm,Surface Scan 587nm,Surface Scan 632nm,Surface Scan 850nm,Surface Scan 880nm,Surface Scan 940nm
,,michigan,3262.2,Ann Arbor,0,store,grape,meijer,sun_pacific,,none,,none,,yes,green,18,,0.176,24.9,1120.34,,,,,,,,,,,,,,,0.00,0.02,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,163.7,87.00,22.08,18.78,23.91,20.44,18.66,22.36,25.34,21.16
,,michigan,3262.3,Ann Arbor,0,store,grape,meijer,sun_pacific,,none,,none,,yes,green,20,,0.187,18.81,854.22,,,,,,,,,,,,,,,0.00,0.02,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,211.6,110.3,26.97,22.51,28.81,25.39,23.33,28.79,31.82,27.46
,,michigan,3264.1,Ann Arbor,0,store,kale,meijer,meijer,,none,,none,,yes,green,,8.8,0.131,124.78,17453.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-3.5199999999999996,-0.9900000000000091,8.099999999999994,4.700000000000003,4.979999999999997,7.219999999999999,4.25,28.679999999999993,34.050000000000004,48.599999999999994,00:00:00:de,1.430,2.231,7.580,6.155,12.67,12.22,7.848,56.35,64.74,61.15
,,michigan,3264.2,Ann Arbor,0,store,kale,meijer,meijer,,none,,none,,yes,green,,5.5,0.157,132.01,18693.6,,,,,,,,,,,,,,,0.00,0.02,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-3.460000000000001,-0.5100000000000051,8.599999999999994,4.950000000000003,5.760000000000005,8.099999999999994,4.490000000000002,27.540000000000006,30.93,49.80000000000001,00:00:00:de,2.020,3.497,9.960,8.341,14.35,15.76,10.72,55.02,61.58,68.33
,,michigan,3264.3,Ann Arbor,0,store,kale,meijer,meijer,,none,,none,,yes,green,,6,0.151,90.5,11900.4,,,,,,,,,,,,,,,0.00,0.03,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-3.530000000000001,-0.9200000000000017,8.099999999999994,4.580000000000005,4.980000000000004,7.619999999999997,4.119999999999997,27.730000000000004,32.14,48.20000000000002,00:00:00:de,0.6584,0.6085,5.197,7.758,12.54,13.75,9.819,58.43,69.38,57.07
,,michigan,3271.1,Ann Arbor,0,store,spinach,meijer,church_brothers_farms,,none,,none,,yes,green,,,0.079,67,1090.11,15.65,74.80,0.45,4.46,31.22,31.16,71.84,492.20,83.04,0.45,1.70,0.08,0.03,0.50,0.00,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.977,-3.630,-1.684,-0.05663,4.343,4.810,2.612,48.72,63.15,57.42
,,michigan,3271.2,Ann Arbor,0,store,spinach,meijer,church_brothers_farms,,none,,none,,yes,green,,,0.061,81.86,1418.02,-9.65,134.27,0.54,6.66,25.51,25.46,58.11,681.48,135.35,0.42,2.01,0.09,0.03,0.44,0.00,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.6886,-0.6495,2.273,4.196,9.606,9.516,6.798,55.74,61.53,52.09
,,michigan,3271.3,Ann Arbor,0,store,spinach,meijer,church_brothers_farms,,none,,none,,yes,green,,,0.082,69.67,1237.72,9.34,62.77,0.45,4.43,31.69,29.98,57.82,469.05,74.63,0.52,2.32,0.08,0.03,0.47,0.00,0.03,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.3292,-0.05498,2.129,6.334,13.63,13.86,9.392,51.42,52.72,53.58
,,michigan,3261.1,Ann Arbor,0,store,carrot,meijer,bolthouse_farms,,none,,none,,yes,orange,24,7.5,0.119,4.33,93.73,12.52,56.68,0.53,3.62,74.16,43.87,61.49,362.27,50.54,0.70,0.77,0.08,0.08,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-2.099999999999998,1.7000000000000028,10.900000000000006,6.510000000000005,9.020000000000003,34.78000000000001,29.490000000000002,32.2,32.67999999999999,57,00:00:00:de,1.540,0.9140,-0.4908,2.843,6.821,47.94,49.48,58.75,73.09,49.70
,,michigan,3261.2,Ann Arbor,0,store,carrot,meijer,bolthouse_farms,,none,,none,,yes,orange,24,7.4,0.106,3.56,107.07,,,,,,,,,,,,,,,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.0700000000000003,3.4200000000000017,11.499999999999986,7.140000000000001,10.059999999999995,40.690000000000005,34,40.510000000000005,37.949999999999996,67.80000000000001,00:00:00:de,0.6809,-0.2204,-1.071,2.328,6.156,43.87,44.06,53.59,68.12,44.78
,,michigan,3261.3,Ann Arbor,0,store,carrot,meijer,bolthouse_farms,,none,,none,,yes,orange,20,8.8,0.133,6.44,68.72,15.66,39.49,0.45,4.24,49.16,13.30,39.23,286.38,37.51,0.87,1.13,0.04,0.06,0.60,0.00,0.01,-0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-2.1799999999999997,0.9500000000000028,9.799999999999997,5.689999999999998,8.18,34.519999999999996,29.520000000000003,33.739999999999995,32.870000000000005,60.099999999999994,00:00:00:de,0.6409,0.7427,-1.325,1.614,5.630,44.29,44.20,47.52,61.80,43.63
,,michigan,3260.1,Ann Arbor,0,store,lettuce,meijer,foxy,,certified_organic,,none,,yes,green,,,0.081,12.7,231.14,11.20,20.73,0.27,1.99,19.64,14.09,30.63,206.03,43.12,0.53,4.80,0.04,0.04,0.19,0.00,0.03,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.373,-2.110,-2.307,4.053,8.724,9.364,6.176,55.03,59.80,62.25
,,michigan,3260.2,Ann Arbor,0,store,lettuce,meijer,foxy,,certified_organic,,none,,yes,green,,,,21.41,298.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.5861,-0.08399,6.306,8.569,14.92,16.94,12.30,55.23,57.85,65.72
,,michigan,3260.3,Ann Arbor,0,store,lettuce,meijer,foxy,,certified_organic,,none,,yes,green,3260.3,,0.091,10.01,204.13,7.19,19.81,0.20,1.92,22.91,11.33,15.69,175.28,16.48,0.28,0.88,0.03,0.04,0.21,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.05436,0.1998,0.5001,6.372,12.87,14.60,9.652,51.01,53.70,66.52
,,michigan,3263.2,Ann Arbor,0,store,cherry_tomato,meijer,sunset,,certified_organic other biologique,,none,,yes,red,24,4.1,0.043,29.53,1887.3,8.16,10.44,0.24,1.78,21.51,14.07,46.61,183.33,17.93,0.22,0.24,0.04,0.02,0.16,0.00,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.9299999999999997,3.289999999999992,18.200000000000003,10.100000000000001,13.400000000000006,29.529999999999994,31.270000000000003,42.55000000000001,38.580000000000005,70.80000000000001,00:00:01:2f,66.89,28.18,5.297,9.191,11.73,15.25,25.61,30.27,32.25,28.92
,,michigan,3263.3,Ann Arbor,0,store,cherry_tomato,meijer,sunset,,certified_organic other biologique,,none,,yes,red,23,5.3,0.056,27.2,1500.42,10.11,12.19,0.20,1.93,20.42,6.23,29.81,171.17,13.84,0.23,0.34,0.02,0.03,0.17,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-2.349999999999998,1.0300000000000011,13.700000000000003,7.619999999999997,9.04,23.67000000000001,28.580000000000005,35.480000000000004,34.129999999999995,61.30000000000001,00:00:01:2f,167.7,81.71,17.52,11.23,14.30,16.84,29.62,35.10,36.58,34.60
,,michigan,3263.1,Ann Arbor,0,store,cherry_tomato,meijer,sunset,,certified_organic other biologique,,none,,yes,red,25,5.3,0.06,32.42,2571.45,9.13,-0.16,0.24,1.58,20.19,11.85,40.75,169.72,13.63,0.21,0.21,0.02,0.04,0.17,0.00,0.01,-0.01,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.3900000000000041,5.009999999999991,19.900000000000006,12.699999999999996,16.64,32.98,32.57,42.739999999999995,37.4,71.70000000000002,00:00:01:2f,35.55,20.89,5.069,8.805,11.91,14.54,26.49,33.21,35.03,31.43
,,connecticut,2169.3,Ann Arbor,0,store,carrot,fitzgeralds,green_giant,,none,,none,,yes,orange,30,6.9,0.1,12.05,47.15,,,,,,,,,,,,,,,0.00,0.02,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.2600000000000016,2.230000000000004,11.899999999999991,5.350000000000001,6.280000000000001,34.470000000000006,30.160000000000004,39.120000000000005,37.86,66.91000000000001,00:00:00:de,2.451,1.062,1.364,2.249,5.062,45.83,48.80,53.39,68.87,44.96
,,connecticut,2169.1,Ann Arbor,0,store,carrot,fitzgeralds,green_giant,,none,,none,,yes,orange,37,7.4,0.115,8.17,49.55,,,,,,,,,,,,,,,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.3099999999999987,1.6599999999999966,11.899999999999991,5.870000000000001,7.080000000000005,32.58,28.35000000000001,34.81999999999999,37.07,59.89999999999999,00:00:00:de,2.361,2.317,1.992,1.951,5.161,41.68,42.51,57.02,71.02,51.40
,,connecticut,2169.2,Ann Arbor,0,store,carrot,fitzgeralds,green_giant,,none,,none,,yes,orange,22,8,0.14,7.62,43.47,,,,,,,,,,,,,,,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.7100000000000009,1.230000000000004,11.86,5.2500000000000036,6.229999999999997,29.980000000000004,25.919999999999995,28.46,30.03000000000001,52.67999999999999,00:00:00:de,1.722,0.8619,0.5639,2.579,5.483,48.59,52.64,62.74,82.41,50.67
,,new_york,3304,Ann Arbor,0,farm_market,kale,,,,,,none,,yes,green,,8,0.138,98.52,11287.7,,,,,,,,,,,,,,,0.00,0.02,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.31,54.36,167.67000000000002,,,,,00:00:00:de,-2.3299999999999983,-0.04000000000000625,10.299999999999997,5.07,5.009999999999998,6.359999999999999,3.4399999999999977,29.870000000000005,39.779999999999994,45.999999999999986,00:00:00:de,1.677,2.157,7.641,8.990,15.52,16.14,10.95,60.46,73.66,61.09
,,california,3000.1,Ann Arbor,0,store,carrot,fruit_basket,unknown,,none,,damage,,yes,orange,30,8.9,0.117,8.91,38.53,,,,,,,,,,,,,,,0.00,0.01,0.01,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-1.8999999999999986,1.9699999999999989,11.200000000000003,5.020000000000003,6.149999999999999,35.85,30.660000000000004,28.769999999999996,36.92,51.20000000000002,00:00:00:de,0.6221,-0.009527,-0.1462,0.4929,3.572,38.11,39.62,56.12,75.45,53.43
,,california,3000.2,Ann Arbor,0,store,carrot,fruit_basket,unknown,,none,,damage,,yes,orange,28,7.1,0.108,8.21,72.73,,,,,,,,,,,,,,,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.8500000000000014,2.719999999999999,11.150000000000006,4.780000000000001,6.039999999999999,33.239999999999995,28.590000000000003,31.200000000000003,35.839999999999996,56.3,00:00:00:de,3.046,3.835,1.904,2.547,6.712,54.33,56.12,63.65,82.10,55.27
,,california,3000.3,Ann Arbor,0,store,carrot,fruit_basket,unknown,,none,,damage,,yes,orange,26,5.2,0.113,9.81,24.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.7100000000000009,3,9.5,4.650000000000002,5.699999999999996,35.709999999999994,30.770000000000003,33.64,40.050000000000004,60,00:00:00:de,0.7003,-1.184,-5.333,0.1617,1.561,37.72,42.47,55.56,68.36,48.68
,,california,3000c,Ann Arbor,0,store,spinach,fruit_basket,green_magic_vegetables,,local,,none,,rotten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,california,3000b,Ann Arbor,0,store,cherry_tomato,fruit_basket,unknown,,local,,none,,rotten,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,california,3029.1,Ann Arbor,0,store,carrot,whole_foods,unknown,,certified_organic,,none,,yes,orange,18,6.9,0.096,13.21,102.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-2.66,0.4899999999999949,10.700000000000003,4.93,5.859999999999999,29.53,26.059999999999995,30.58,36.739999999999995,57.499999999999986,00:00:00:de,-0.1528,-1.134,-0.7819,1.597,3.749,38.27,40.91,47.75,58.89,40.94
